State ,Districts,District Population,State Population,Dist Area,State Area,Density,Sex ratio,Literacy rate State,Crime rate 2018,Crime rate 2019,Crime rate 2020,Crime rate 2021,Overall Crime rate,Total Crime ,MURDER,ATTEMPT TO MURDER,RAPE,OTHER RAPE,Kidnapping,DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,CRUELTY BY HUSBAND OR HIS RELATIVES, IPC CRIMES
UTTAR PRADESH,AMBEDKAR NAGAR,2398709,235687000,2372,240928,1021,912,145,262,278,287,262,1090,2479742,35,32,12,12,138,1,24,31,123,53,70,66,25,69,1,1,147,9,75,362
UTTAR PRADESH,AMETHI,2549935,235687000,3063,240928,830,912,145,262,278,287,262,1090,2479742,24,29,13,13,204,1,19,31,150,89,61,9,30,60,1,1,87,18,40,529
UTTAR PRADESH,AMROHA,1838771,235687000,2321,240928,818,912,145,262,278,287,262,1090,2479742,73,88,19,19,242,1,59,72,240,128,112,182,20,131,4,1,328,25,101,542
UTTAR PRADESH,AURAIYA,1372287,235687000,2051,240928,681,912,145,262,278,287,262,1090,2479742,108,136,24,24,214,3,40,63,218,97,121,6,1,49,2,1,315,47,65,1094
UTTAR PRADESH,AYODHYA,2468371,235687000,2765,240928,1054,912,145,262,278,287,262,1090,2479742,80,93,18,18,160,3,46,46,260,126,134,63,42,63,4,1,134,19,76,394
UTTAR PRADESH,AZAMGARH,4616509,235687000,4053,240928,1139,912,145,262,278,287,262,1090,2479742,41,42,27,27,232,1,15,74,215,106,109,69,35,141,3,3,173,38,4,1218
UTTAR PRADESH,BAGPAT,1302156,235687000,1345,240928,986,912,145,262,278,287,262,1090,2479742,45,27,12,12,168,8,38,97,235,134,101,102,13,70,3,3,239,28,51,354
UTTAR PRADESH,BAHRAICH,2384239,235687000,4926,240928,415,912,145,262,278,287,262,1090,2479742,23,10,12,12,107,2,6,33,62,33,29,21,11,66,2,2,74,5,4,151
UTTAR PRADESH,BALLIA,3223642,235687000,2981,240928,1081,912,145,262,278,287,262,1090,2479742,40,24,22,22,97,1,9,42,134,49,85,34,21,32,1,15,24,36,51,508
UTTAR PRADESH,BALRAMPUR,2149066,235687000,3349,240928,642,912,145,262,278,287,262,1090,2479742,73,51,31,31,260,1,16,53,197,90,107,12,43,141,1,4,256,31,114,615
UTTAR PRADESH,BANDA,1799541,235687000,4413,240928,404,912,145,262,278,287,262,1090,2479742,114,151,86,86,530,3,68,146,762,379,383,134,107,388,3,15,795,61,88,1601
UTTAR PRADESH,BARABANKI,3257983,235687000,3825,240928,739,912,145,262,278,287,262,1090,2479742,33,19,7,7,122,1,12,36,161,90,71,13,20,68,3,1,134,21,69,407
UTTAR PRADESH,BAREILLY,4465344,235687000,4120,240928,1084,912,145,262,278,287,262,1090,2479742,77,96,23,23,186,7,43,91,279,118,161,99,24,79,1,1,121,27,64,660
UTTAR PRADESH,BASTI,2461056,235687000,2687,240928,916,912,145,262,278,287,262,1090,2479742,89,67,43,43,320,4,56,74,357,133,224,67,52,229,1,1,5,19,257,1128
UTTAR PRADESH,BHADOHI,1554203,235687000,960,240928,1531,912,145,262,278,287,262,1090,2479742,140,144,46,46,376,6,61,78,526,255,271,97,48,213,3,5,14,48,304,1194
UTTAR PRADESH,BIJNOR,3683896,235687000,4561,240928,808,912,145,262,278,287,262,1090,2479742,25,14,11,11,68,2,13,25,124,55,69,9,24,38,1,4,188,14,37,348
UTTAR PRADESH,BUDAUN,3712738,235687000,5168,240928,718,912,145,262,278,287,262,1090,2479742,34,10,31,31,86,2,7,68,97,27,70,16,14,29,1,7,13,22,23,239
UTTAR PRADESH,BULANDSHAHR,3498507,235687000,3719,240928,788,912,145,262,278,287,262,1090,2479742,35,55,26,26,210,1,17,59,137,71,66,51,22,37,2,2,237,12,56,451
UTTAR PRADESH,CHANDAULI,1952713,235687000,2554,240928,768,912,145,262,278,287,262,1090,2479742,35,25,18,18,135,2,12,47,177,117,60,48,23,120,3,1,147,29,34,521
UTTAR PRADESH,CHITRAKOOT,990626,235687000,3202,240928,315,912,145,262,278,287,262,1090,2479742,73,115,22,22,220,9,37,41,389,219,170,108,47,120,1,14,235,38,82,749
UTTAR PRADESH,DEORIA,3098637,235687000,2535,240928,1220,912,145,262,278,287,262,1090,2479742,59,55,9,9,142,3,33,52,273,190,83,14,34,80,1,7,78,26,42,977
UTTAR PRADESH,ETAH,1761152,235687000,2456,240928,717,912,145,262,278,287,262,1090,2479742,45,41,29,29,286,1,33,91,263,127,136,66,45,96,4,1,213,18,7,939
UTTAR PRADESH,ETAWAH,1579160,235687000,2287,240928,683,912,145,262,278,287,262,1090,2479742,68,66,14,14,212,4,15,75,267,154,113,30,36,80,2,1,56,34,71,515
UTTAR PRADESH,FARRUKHABAD,1887577,235687000,2279,240928,865,912,145,262,278,287,262,1090,2479742,79,33,35,35,236,6,17,63,131,73,58,48,48,98,1,3,295,41,56,728
UTTAR PRADESH,FATEHPUR,2632684,235687000,4152,240928,634,912,145,262,278,287,262,1090,2479742,100,108,32,32,386,3,85,64,635,421,214,138,59,146,1,1,289,50,98,747
UTTAR PRADESH,FIROZABAD,2496761,235687000,2361,240928,1044,912,145,262,278,287,262,1090,2479742,22,11,3,3,28,8,40,1,1836,87,1749,23,14,32,3,1,4,2,1,725
UTTAR PRADESH,GAUTAM BUDDHA NAGAR,1674714,235687000,1269,240928,1252,912,145,262,278,287,262,1090,2479742,89,103,19,19,316,7,202,189,2912,2008,904,150,101,322,4,1,91,17,142,1759
UTTAR PRADESH,GHAZIABAD,4661452,235687000,1175,240928,3967,912,145,262,278,287,262,1090,2479742,146,111,31,31,510,6,106,207,2707,2103,604,76,111,324,6,1,14,41,277,2591
UTTAR PRADESH,GHAZIPUR,3622727,235687000,3377,240928,1072,912,145,262,278,287,262,1090,2479742,47,56,9,9,122,3,28,78,173,105,68,64,17,102,1,3,216,32,60,332
UTTAR PRADESH,GONDA,3431386,235687000,4425,240928,857,912,145,262,278,287,262,1090,2479742,39,38,23,23,250,1,31,106,238,96,142,111,58,254,3,1,340,37,5,859
UTTAR PRADESH,GORAKHPUR,4436275,235687000,3325,240928,1336,912,145,262,278,287,262,1090,2479742,98,136,52,52,464,14,69,197,971,685,286,236,102,413,8,6,410,53,180,1010
UTTAR PRADESH,HAMIRPUR,1104021,235687000,4325,240928,268,912,145,262,278,287,262,1090,2479742,36,27,25,25,92,5,17,28,72,17,55,19,22,19,1,4,58,17,28,293
UTTAR PRADESH,HAPUR,1338211,235687000,660,240928,2028,912,145,262,278,287,262,1090,2479742,77,57,30,30,270,1,12,52,246,101,145,43,31,93,1,3,243,48,87,1482
UTTAR PRADESH,HARDOI,4091380,235687000,5986,240928,683,912,145,262,278,287,262,1090,2479742,53,52,17,17,168,14,43,77,283,160,123,71,26,77,2,3,145,18,91,517
UTTAR PRADESH,HATHRAS,1565678,235687000,1752,240928,851,912,145,262,278,287,262,1090,2479742,60,36,34,34,138,4,52,36,234,134,100,57,22,120,1,1,106,19,82,517
UTTAR PRADESH,JALAUN,1670718,235687000,4565,240928,366,912,145,262,278,287,262,1090,2479742,46,32,15,15,136,3,16,37,153,94,59,33,22,60,3,1,10,40,47,540
UTTAR PRADESH,JAUNPUR,4476072,235687000,4038,240928,1108,912,145,262,278,287,262,1090,2479742,50,64,15,15,230,1,53,51,186,91,95,49,26,75,1,9,324,51,55,453
UTTAR PRADESH,JHANSI,2000755,235687000,5024,240928,398,912,145,262,278,287,262,1090,2479742,65,50,19,19,148,2,29,81,346,229,117,73,28,67,8,7,153,33,53,682
UTTAR PRADESH,KANNAUJ,1658005,235687000,1993,240928,792,912,145,262,278,287,262,1090,2479742,48,36,12,12,172,1,8,40,128,57,71,26,30,71,1,5,5,27,106,824
UTTAR PRADESH,KANPUR DEHAT,1795092,235687000,3021,240928,594,912,145,262,278,287,262,1090,2479742,151,126,55,55,636,13,142,225,1514,1178,336,137,182,506,11,2,289,56,317,2365
UTTAR PRADESH,KANPUR NAGAR,4572951,235687000,3156,240928,1415,912,145,262,278,287,262,1090,2479742,50,54,18,18,130,1,12,21,133,76,57,42,21,54,1,2,134,26,26,340
UTTAR PRADESH,KASGANJ,1438156,235687000,1955,240928,736,912,145,262,278,287,262,1090,2479742,44,12,11,11,108,1,13,49,88,28,60,22,13,66,1,2,80,20,46,619
UTTAR PRADESH,KAUSHAMBI,1596909,235687000,1837,240928,897,912,145,262,278,287,262,1090,2479742,89,98,34,34,364,2,23,50,417,233,184,42,19,69,1,1,432,51,57,1012
UTTAR PRADESH,KUSHINAGAR,3560830,235687000,2909,240928,1226,912,145,262,278,287,262,1090,2479742,36,28,30,30,196,1,10,39,146,100,46,101,32,83,1,10,166,28,28,609
UTTAR PRADESH,LAKHIMPUR KHERI,4013634,235687000,7674,240928,523,912,145,262,278,287,262,1090,2479742,23,10,14,14,50,1,11,23,57,25,32,16,26,39,1,1,15,7,13,323
UTTAR PRADESH,LALITPUR,1218002,235687000,5039,240928,242,912,145,262,278,287,262,1090,2479742,141,99,48,48,630,8,63,479,2462,1663,799,195,411,952,6,3,91,32,538,4619
UTTAR PRADESH,LUCKNOW,4588455,235687000,2528,240928,1815,912,145,262,278,287,262,1090,2479742,30,21,34,34,191,9,10,52,88,41,47,85,26,157,1,8,171,20,23,481
UTTAR PRADESH,MAHARAJGANJ,2665292,235687000,2953,240928,903,912,145,262,278,287,262,1090,2479742,29,16,16,16,96,1,12,49,81,19,62,24,19,34,1,1,5,20,24,296
UTTAR PRADESH,MAHOBA,876055,235687000,2847,240928,288,912,145,262,278,287,262,1090,2479742,81,84,15,15,278,7,56,70,404,293,111,78,28,72,1,10,196,39,81,763
UTTAR PRADESH,MAINPURI,1847194,235687000,2760,240928,670,912,145,262,278,287,262,1090,2479742,101,121,41,41,310,12,73,66,840,598,242,143,78,224,7,8,188,34,235,1620
UTTAR PRADESH,MATHURA,2541894,235687000,3333,240928,761,912,145,262,278,287,262,1090,2479742,23,61,9,9,164,1,27,73,198,134,64,105,35,142,2,11,237,11,92,291
UTTAR PRADESH,MAU,2205170,235687000,1713,240928,1287,912,145,262,278,287,262,1090,2479742,202,246,54,54,574,16,264,277,2394,1668,726,284,108,443,8,1,22,39,435,2358
UTTAR PRADESH,MEERUT,3447405,235687000,2522,240928,1342,912,145,262,278,287,262,1090,2479742,27,3,4,4,14,1,3,21,41,20,21,1,13,57,1,3,85,24,29,369
UTTAR PRADESH,MIRZAPUR,2494533,235687000,4522,240928,561,912,145,262,278,287,262,1090,2479742,90,84,36,36,324,14,95,109,842,499,343,97,42,153,1,1,88,28,255,1247
UTTAR PRADESH,MORADABAD,4773138,235687000,3718,240928,1284,912,145,262,278,287,262,1090,2479742,126,134,27,27,434,5,62,74,594,325,269,94,63,183,3,1,28,16,225,1601
UTTAR PRADESH,MUZAFFARNAGAR,4138605,235687000,4008,240928,1033,912,145,262,278,287,262,1090,2479742,56,68,15,15,130,1,38,30,366,213,153,49,31,86,1,1,35,17,56,636
UTTAR PRADESH,PILIBHIT,2037225,235687000,3499,240928,567,912,145,262,278,287,262,1090,2479742,47,21,10,10,130,7,7,11,83,37,46,6,38,135,3,1,1,25,79,1645
UTTAR PRADESH,PRATAPGARH,3173752,235687000,3717,240928,854,912,145,262,278,287,262,1090,2479742,55,58,7,7,128,1,41,24,169,89,80,56,11,46,3,1,4,12,55,579
UTTAR PRADESH,PRAYAGRAJ,5959798,235687000,5481,240928,1087,912,145,262,278,287,262,1090,2479742,57,81,36,36,232,2,43,101,238,143,95,151,63,104,2,20,361,24,72,629
UTTAR PRADESH,RAEBARELI,3404004,235687000,4609,240928,739,912,145,262,278,287,262,1090,2479742,37,39,36,36,192,1,14,67,179,79,100,45,50,60,1,1,137,23,50,691
UTTAR PRADESH,RAMPUR,2335398,235687000,2367,240928,987,912,145,262,278,287,262,1090,2479742,44,14,18,18,166,1,11,18,85,39,46,25,48,86,1,6,194,28,77,980
UTTAR PRADESH,SAHARANPUR,3464228,235687000,3689,240928,939,912,145,262,278,287,262,1090,2479742,51,66,26,26,200,5,48,62,338,151,187,60,65,146,4,1,1,12,138,806
UTTAR PRADESH,SAMBHAL,2217020,235687000,2453,240928,890,912,145,262,278,287,262,1090,2479742,70,78,18,18,202,1,34,30,448,230,218,68,27,245,5,1,113,27,113,1649
UTTAR PRADESH,SANT KABIR NAGAR,1714300,235687000,1442,240928,1014,912,145,262,278,287,262,1090,2479742,16,17,18,18,100,1,9,33,55,28,27,17,19,37,1,6,134,12,10,222
UTTAR PRADESH,SHAHJAHANPUR,3002376,235687000,4575,240928,673,912,145,262,278,287,262,1090,2479742,77,80,27,27,260,3,17,43,227,95,132,29,41,111,5,20,250,51,73,1066
UTTAR PRADESH,SHAMLI[17],1274815,235687000,1063,240928,1200,912,145,262,278,287,262,1090,2479742,24,10,22,22,84,18,5,17,57,8,49,7,5,21,1,1,137,18,1,111
UTTAR PRADESH,SHRAVASTI,1114615,235687000,1948,240928,572,912,145,262,278,287,262,1090,2479742,27,5,22,22,96,2,3,27,79,36,43,15,12,23,1,1,38,8,35,243
UTTAR PRADESH,SIDDHARTHNAGAR,2553526,235687000,2751,240928,882,912,145,262,278,287,262,1090,2479742,96,81,49,49,482,3,32,114,405,159,246,69,51,96,1,22,219,45,125,1371
UTTAR PRADESH,SITAPUR,4474446,235687000,5743,240928,779,912,145,262,278,287,262,1090,2479742,25,13,21,21,62,1,8,35,95,39,56,2,19,40,1,1,131,17,21,282
UTTAR PRADESH,SONBHADRA,1862612,235687000,6788,240928,274,912,145,262,278,287,262,1090,2479742,10,20,4,4,37,1,2,18,47,20,27,6,15,36,1,1,56,7,13,148
UTTAR PRADESH,SULTANPUR,3790922,235687000,4436,240928,855,912,145,262,278,287,262,1090,2479742,44,80,26,26,134,7,33,108,279,150,129,90,17,48,1,13,243,15,84,496
UTTAR PRADESH,UNNAO,3110595,235687000,4561,240928,682,912,145,262,278,287,262,1090,2479742,60,46,41,41,364,1,14,90,201,88,113,46,47,111,1,2,35,44,141,1207
UTTAR PRADESH,VARANASI,3682194,235687000,1535,240928,2399,912,145,262,278,287,262,1090,2479742,59,62,21,21,198,1,28,94,700,444,256,96,132,341,24,1,216,35,177,1118
UTTARAKHAND,ALMORA,621927,11637000,3090,53483,198,963,175,314,253,507,305,1379,155190,4,6,5,5,3,1,4,10,21,3,18,3,3,6,1,3,1,2,5,59
UTTARAKHAND,BAGESHWAR,259840,11637000,2310,53483,116,963,175,314,253,507,305,1379,155190,3,2,8,8,3,1,1,6,4,1,3,3,1,5,1,2,11,4,2,16
UTTARAKHAND,CHAMOLI,391114,11637000,7692,53483,49,963,175,314,253,507,305,1379,155190,1,3,2,2,5,1,1,8,9,1,9,3,3,5,1,1,14,1,1,13
UTTARAKHAND,CHAMPAWAT,259315,11637000,1781,53483,147,963,175,314,253,507,305,1379,155190,2,1,3,3,3,1,1,10,5,1,5,2,1,6,1,1,25,1,1,13
UTTARAKHAND,DEHRADUN,1698560,11637000,3088,53483,550,963,175,314,253,507,305,1379,155190,37,29,30,30,86,4,19,118,575,277,298,86,32,185,8,4,467,13,111,229
UTTARAKHAND,HARIDWAR,1927029,11637000,2360,53483,817,963,175,314,253,507,305,1379,155190,74,54,47,47,212,11,67,71,619,309,310,115,48,142,5,3,390,10,89,521
UTTARAKHAND,NAINITAL,955128,11637000,3853,53483,225,963,175,314,253,507,305,1379,155190,17,12,16,16,59,2,12,30,107,53,54,33,8,26,1,1,20,10,22,295
UTTARAKHAND,PAURI GARHWAL,686527,11637000,5438,53483,129,963,175,314,253,507,305,1379,155190,9,2,2,2,21,1,3,19,58,22,36,19,9,18,2,1,28,2,2,56
UTTARAKHAND,PITHORAGARH,485993,11637000,7110,53483,69,963,175,314,253,507,305,1379,155190,9,1,1,1,3,1,1,18,7,1,6,4,2,4,1,3,15,2,2,26
UTTARAKHAND,RUDRAPRAYAG,236857,11637000,1896,53483,119,963,175,314,253,507,305,1379,155190,3,1,2,2,7,1,4,13,6,1,6,5,1,14,1,1,6,1,4,33
UTTARAKHAND,TEHRI GARHWAL,616409,11637000,4085,53483,169,963,175,314,253,507,305,1379,155190,5,2,1,1,7,1,3,5,17,7,10,5,1,7,4,1,1,3,1,35
UTTARAKHAND,UDHAM SINGH NAGAR,1648367,11637000,2912,53483,648,963,175,314,253,507,305,1379,155190,52,50,30,30,190,12,31,80,474,273,201,87,30,109,2,1,43,22,128,785
UTTARAKHAND,UTTARKASHI,329686,11637000,7951,53483,41,963,175,314,253,507,305,1379,155190,1,1,1,1,8,1,1,3,11,3,8,4,1,2,1,1,3,1,3,37
WEST BENGAL,ALIPURDUAR,1501983,99084000,3136,90000,479,953,161,195,194,187,185,760,740300,140,108,118,118,994,34,61,6,1453,381,1072,680,94,141,9,19,79,74,1860,6062
WEST BENGAL,BANKURA,3596292,99084000,6882,90000,523,953,161,195,194,187,185,760,740300,224,8,244,244,839,34,35,51,1279,194,1085,1976,4,250,6,15,234,45,1666,7641
WEST BENGAL,BIRBHUM,3502387,99084000,4545,90000,771,953,161,195,194,187,185,760,740300,60,25,36,36,154,15,75,21,947,254,693,212,20,15,3,1,93,15,240,1759
WEST BENGAL,COOCH BEHAR,2822780,99084000,3387,90000,833,953,161,195,194,187,185,760,740300,61,37,35,35,168,11,26,14,224,47,177,219,31,66,1,22,187,26,221,1188
WEST BENGAL,DAKSHIN DINAJPUR,1670931,99084000,2183,90000,753,953,161,195,194,187,185,760,740300,15,35,13,13,107,3,17,10,847,216,631,32,15,186,3,1,1,9,320,1765
WEST BENGAL,DARJEELING,1595181,99084000,2093,90000,762,953,161,195,194,187,185,760,740300,113,186,49,49,152,10,42,26,374,112,262,248,17,74,4,20,521,23,245,679
WEST BENGAL,HOOGHLY,5520389,99084000,3149,90000,1753,953,161,195,194,187,185,760,740300,89,49,36,36,428,16,48,9,1357,508,849,125,49,224,3,1,143,20,989,2961
WEST BENGAL,HOWRAH,4841638,99084000,1467,90000,3300,953,161,195,194,187,185,760,740300,91,167,58,58,198,6,41,6,470,194,276,349,32,202,1,23,578,55,224,1589
WEST BENGAL,JALPAIGURI,3869675,99084000,6227,90000,621,953,161,195,194,187,185,760,740300,48,94,92,92,358,3,9,12,284,90,194,69,23,86,3,26,163,25,539,1562
WEST BENGAL,JHARGRAM,1136548,99084000,3038,90000,374,953,161,195,194,187,185,760,740300,53,238,66,66,284,1,3,4,252,27,225,15,36,63,3,10,221,18,342,1046
WEST BENGAL,KALIMPONG,251642,99084000,1054,90000,239,953,161,195,194,187,185,760,740300,27,17,10,10,94,6,6,2,318,55,263,2,20,15,3,8,632,2,106,158
WEST BENGAL,KOLKATA,4486679,99084000,206,90000,24252,953,161,195,194,187,185,760,740300,132,37,68,68,354,10,26,6,807,205,602,531,34,284,12,31,47,32,1195,2795
WEST BENGAL,MALDAH,3997970,99084000,3733,90000,1071,953,161,195,194,187,185,760,740300,67,32,56,56,264,14,36,67,439,117,322,203,67,125,1,4,194,16,883,2301
WEST BENGAL,MURSHIDABAD,7102430,99084000,5324,90000,1334,953,161,195,194,187,185,760,740300,39,3,28,28,382,3,35,19,1166,274,892,85,65,214,6,4,36,15,550,2879
WEST BENGAL,NADIA,5168488,99084000,3927,90000,1316,953,161,195,194,187,185,760,740300,16,9,2,2,8,2,3,1,323,1,323,3,2,15,3,1,3,1,1,94
WEST BENGAL,NORTH 24 PARGANAS,10082852,99084000,4094,90000,2463,953,161,195,194,187,185,760,740300,117,156,163,163,668,5,36,25,1461,292,1169,42,54,104,5,21,220,17,1625,2952
WEST BENGAL,PASCHIM BARDHAMAN,2882031,99084000,1603,90000,1798,953,161,195,194,187,185,760,740300,30,23,21,21,43,10,19,3,97,11,86,52,3,17,1,1,11,6,47,264
WEST BENGAL,PASCHIM MEDINIPUR,4776909,99084000,6308,90000,757,953,161,195,194,187,185,760,740300,6,1,2,2,9,1,3,1,149,1,149,1,1,1,1,1,3,1,2,21
WEST BENGAL,PURBA BARDHAMAN,4835532,99084000,5433,90000,890,953,161,195,194,187,185,760,740300,85,154,68,68,542,8,44,96,4960,659,4301,397,428,2100,26,1,3518,19,865,10903
WEST BENGAL,PURBA MEDINIPUR,5095875,99084000,4736,90000,1076,953,161,195,194,187,185,760,740300,118,322,158,158,580,2,15,21,413,161,252,59,10,112,110,25,787,7,660,2290
WEST BENGAL,PURULIA,2927965,99084000,6259,90000,468,953,161,195,194,187,185,760,740300,174,395,257,257,1158,9,42,4,961,309,652,190,92,157,110,50,3254,39,2831,2489
WEST BENGAL,SOUTH 24 PARGANAS,8161961,99084000,9960,90000,819,953,161,195,194,187,185,760,740300,146,357,174,174,866,29,34,21,1251,244,1007,128,132,338,21,22,2632,46,1860,3871
WEST BENGAL,UTTAR DINAJPUR,3000849,99084000,3180,90000,956,953,161,195,194,187,185,760,740300,88,86,64,64,231,13,37,13,582,141,441,416,59,64,8,41,210,26,823,2201
A & N ISLANDS,NICOBAR,36842,403000,1841,8249,20,876,172,153,150,115,117,535,11607,82,5,65,65,392,10,28,15,450,127,323,403,23,135,4,15,16,31,572,2126
A & N ISLANDS,NORTH AND MIDDLE ANDAMAN,105597,403000,3736,8249,28,876,172,153,150,115,117,535,11607,66,12,50,50,88,8,26,2,255,44,211,100,8,40,1,2,162,12,206,565
A & N ISLANDS,SOUTH ANDAMAN,238142,403000,2672,8249,89,876,172,153,150,115,117,535,11607,19,9,1,1,14,1,10,1,421,2,419,13,2,14,1,1,62,1,1,39
CHANDIGARH,CHANDIGARH,1055450,1231000,114,114,9258,818,172,153,150,115,117,535,16734,4,1,1,1,7,1,1,1,167,1,167,2,1,1,1,1,1,1,1,58
D & N HAVELI,DAMAN,191173,1263000,72,603,2651,711,152,222,224,211,228,885,2421,32,6,21,21,246,3,29,3,849,365,484,9,53,195,1,3,812,3,370,385
D & N HAVELI,DIU,52074,1263000,39,603,2058,711,152,222,224,211,228,885,2421,110,283,92,92,612,13,29,7,435,129,306,51,18,64,6,33,1105,9,623,1839
D & N HAVELI,DADRA AND NAGAR HAVELI,343709,1263000,491,603,700,711,152,222,224,211,228,885,2421,2,1,1,1,3,1,1,1,4,1,4,1,1,2,1,1,4,1,1,8
JAMMU & KASHMIR,ANANTNAG,1070144,13603000,2853,42241,375,890,154,237,243,275,242,997,113270,5,1,4,4,3,1,1,6,13,1,13,1,1,3,1,1,8,1,2,70
JAMMU & KASHMIR,BUDGAM,735753,13603000,1406,42241,537,890,154,237,243,275,242,997,113270,8,3,8,8,14,4,1,65,54,1,54,8,5,26,1,4,50,2,3,273
JAMMU & KASHMIR,BANDIPORE,385099,13603000,3010,42241,128,890,154,237,243,275,242,997,113270,21,44,27,27,174,3,63,235,1549,894,655,49,34,234,2,9,42,5,73,1042
JAMMU & KASHMIR,BARAMULLA,1015503,13603000,3329,42241,305,890,154,237,243,275,242,997,113270,7,2,3,3,26,2,2,22,68,36,32,11,10,4,1,12,25,1,1,112
JAMMU & KASHMIR,DODA,409576,13603000,2625,42241,79,890,154,237,243,275,242,997,113270,3,4,5,5,5,1,3,24,52,39,13,6,6,7,1,10,15,1,1,34
JAMMU & KASHMIR,GANDERBAL,297003,13603000,1979,42241,1151,890,154,237,243,275,242,997,113270,1,1,1,1,3,1,1,2,3,3,1,3,1,1,1,1,2,1,2,12
JAMMU & KASHMIR,JAMMU,1526406,13603000,3097,42241,596,890,154,237,243,275,242,997,113270,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,178,1
JAMMU & KASHMIR,KATHUA,615711,13603000,2651,42241,232,890,154,237,243,275,242,997,113270,35,25,31,31,360,2,47,101,1403,846,557,6,39,189,4,7,133,4,57,631
JAMMU & KASHMIR,KISHTWAR,230696,13603000,7737,42241,30,890,154,237,243,275,242,997,113270,1,2,1,1,6,1,1,1,1,1,1,1,1,61,6,1,1,1,1,15
JAMMU & KASHMIR,KULGAM,422786,13603000,457,42241,925,890,154,237,243,275,242,997,113270,521,439,706,706,7940,28,608,1715,22032,14391,7641,79,341,2491,61,79,1747,134,1985,15408
JAMMU & KASHMIR,KUPWARA,875564,13603000,2379,42241,368,890,154,237,243,275,242,997,113270,48,53,90,90,1006,4,57,172,3258,2137,1121,14,33,211,1,17,161,7,202,2426
JAMMU & KASHMIR,POONCH,476820,13603000,1674,42241,285,890,154,237,243,275,242,997,113270,1,1,1,1,3,1,1,1,1,1,1,1,2,120,1,1,1,1,1,2
JAMMU & KASHMIR,PULWAMA,570060,13603000,1398,42241,598,890,154,237,243,275,242,997,113270,13,1,4,4,54,1,12,1,630,32,598,4,9,11,1,1,1,1,1,103
JAMMU & KASHMIR,RAJOURI,619266,13603000,2630,42241,235,890,154,237,243,275,242,997,113270,1,1,1,1,3,1,1,1,68,16,52,1,1,247,3,1,1,1,1,44
JAMMU & KASHMIR,RAMBAN,283313,13603000,1330,42241,213,890,154,237,243,275,242,997,113270,9,6,5,5,56,1,9,25,374,138,236,12,14,132,16,1,16,1,4,302
JAMMU & KASHMIR,REASI,314714,13603000,1710,42241,184,890,154,237,243,275,242,997,113270,25,17,14,14,306,1,45,97,1025,612,413,5,37,127,3,3,92,6,70,927
JAMMU & KASHMIR,SAMBA,318611,13603000,913,42241,318,890,154,237,243,275,242,997,113270,49,65,78,78,1020,4,58,57,2616,1944,672,5,12,136,4,2,242,25,293,1512
JAMMU & KASHMIR,SHOPIAN,265960,13603000,312,42241,852,890,154,237,243,275,242,997,113270,60,37,64,64,714,6,65,166,1901,1329,572,1,19,168,3,3,166,12,212,1253
JAMMU & KASHMIR,SRINAGAR,1269751,13603000,2228,42241,703,890,154,237,243,275,242,997,113270,96,60,67,67,1144,6,91,262,2215,1405,810,7,34,233,2,6,224,15,244,2006
JAMMU & KASHMIR,UDHAMPUR,555357,13603000,4550,42241,211,890,154,237,243,275,242,997,113270,39,19,70,70,490,2,52,235,2126,1354,772,3,33,256,1,4,101,17,68,1651
LADHAKH,KARGIL,143388,300000,14036,59146,10,853,164,222,224,211,228,885,962,46,69,116,116,1076,2,72,201,2892,2045,847,12,45,207,10,11,252,11,123,2004
LADHAKH,LEH,133487,300000,45110,59146,3,853,164,222,224,211,228,885,962,47,48,87,87,798,1,47,211,1171,800,371,6,27,189,3,6,131,18,207,1387
LAKSHADWEEP,LAKSHADWEEP,64473,69000,30,32,2149,946,184,222,224,211,228,885,534,1,1,1,1,3,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1
DELHI,CENTRAL DELHI,582320,21359000,25,1484,27730,868,176,237,243,275,242,997,1151332,52,37,79,79,908,2,52,186,2352,1733,619,5,36,202,2,18,227,18,327,1144
DELHI,EAST DELHI,1709346,21359000,440,1484,27132,868,176,237,243,275,242,997,1151332,1,1,1,1,3,1,1,3,7,1,6,10,1,1,1,3,3,1,1,32
DELHI,NEW DELHI,142004,21359000,22,1484,4057,868,176,237,243,275,242,997,1151332,5,6,6,6,5,1,3,21,81,53,28,17,1,15,1,1,186,1,1,392
DELHI,NORTH DELHI,887978,21359000,59,1484,14557,868,176,237,243,275,242,997,1151332,24,21,7,7,34,5,13,56,577,409,168,109,8,75,5,20,632,1,5,1668
DELHI,NORTH EAST DELHI,2241624,21359000,52,1484,36155,868,176,237,243,275,242,997,1151332,113,186,49,49,152,10,42,26,374,112,262,248,17,74,4,20,521,23,245,679
DELHI,NORTH WEST DELHI,3656539,21359000,130,1484,8254,868,176,237,243,275,242,997,1151332,89,49,36,36,428,16,48,9,1357,508,849,125,49,224,3,1,143,20,989,2961
DELHI,SOUTH DELHI,2731929,21359000,250,1484,11060,868,176,237,243,275,242,997,1151332,91,167,58,58,198,6,41,6,470,194,276,349,32,202,1,23,578,55,224,1589
